Paso,Posicion_X,Posicion_Y
200,50.652,-8.442
201,51.1585,-8.52642
202,51.6676,-8.61126
203,52.1791,-8.69652
204,52.6932,-8.7822
205,53.2098,-8.8683
206,53.7289,-8.95482
207,54.2506,-9.04176
208,54.7747,-9.12912
209,55.3014,-9.2169
210,55.8306,-9.3051
211,56.3623,-9.39372
212,56.8966,-9.48276
213,57.4333,-9.57222
214,57.9726,-9.6621
215,58.5144,-9.7524
216,59.0587,-9.84312
217,59.6056,-9.93426
218,60.1549,-10.0258
219,60.7068,-10.1178
220,61.2612,-10.2102
221,61.8181,-10.303
222,62.3776,-10.3963
223,62.9395,-10.4899
224,63.504,-10.584
225,64.071,-10.6785
226,64.6405,-10.7734
227,65.2126,-10.8688
228,65.7871,-10.9645
229,66.3642,-11.0607
230,66.9438,-11.1573
231,67.5259,-11.2543
232,68.1106,-11.3518
233,68.6977,-11.4496
234,69.2874,-11.5479
235,69.8796,-11.6466
236,70.4743,-11.7457
237,71.0716,-11.8453
238,71.6713,-11.9452
239,72.2736,-12.0456
240,72.8784,-12.1464
241,73.4857,-12.2476
242,74.0956,-12.3493
243,74.7079,-12.4513
244,75.3228,-12.5538
245,75.9402,-12.6567
246,76.5601,-12.76
247,77.1826,-12.8638
248,77.8075,-12.9679
249,78.435,-13.0725
250,79.065,-13.1775
251,79.6975,-13.2829
252,80.3326,-13.3888
253,80.9701,-13.495
254,81.6102,-13.6017
255,82.2528,-13.7088
256,82.8979,-13.8163
257,83.5456,-13.9243
258,84.1957,-14.0326
259,84.8484,-14.1414
260,85.5036,-14.2506
261,86.1613,-14.3602
262,86.8216,-14.4703
263,87.4843,-14.5807
264,88.1496,-14.6916
265,88.8174,-14.8029
266,89.4877,-14.9146
267,90.1606,-15.0268
268,90.8359,-15.1393
269,91.5138,-15.2523
270,92.1942,-15.3657
271,92.8771,-15.4795
272,93.5626,-15.5938
273,94.2505,-15.7084
274,94.941,-15.8235
275,95.634,-15.939
276,96.3295,-16.0549
277,97.0276,-16.1713
278,97.7281,-16.288
279,98.4312,-16.4052
280,99.1368,-16.5228
281,99.8449,-16.6408
282,100.556,-16.7593
283,101.269,-16.8781
284,101.984,-16.9974
285,102.703,-17.1171
286,103.423,-17.2372
287,104.147,-17.3578
288,104.872,-17.4787
289,105.601,-17.6001
290,106.331,-17.7219
291,107.065,-17.8441
292,107.801,-17.9668
293,108.539,-18.0898
294,109.28,-18.2133
295,110.023,-18.3372
296,110.769,-18.4615
297,111.518,-18.5863
298,112.269,-18.7114
299,113.022,-18.837
300,113.778,-18.963
301,114.537,-19.0894
302,115.298,-19.2163
303,116.061,-19.3435
304,116.827,-19.4712
305,117.596,-19.5993
306,118.367,-19.7278
307,119.141,-19.8568
308,119.917,-19.9861
309,120.695,-20.1159
310,121.477,-20.2461
311,122.26,-20.3767
312,123.047,-20.5078
313,123.835,-20.6392
314,124.627,-20.7711
315,125.42,-20.9034
316,126.217,-21.0361
317,127.016,-21.1693
318,127.817,-21.3028
319,128.621,-21.4368
320,129.427,-21.5712
321,130.236,-21.706
322,131.048,-21.8413
323,131.862,-21.9769
324,132.678,-22.113
325,133.497,-22.2495
326,134.319,-22.3864
327,135.143,-22.5238
328,135.969,-22.6615
329,136.798,-22.7997
330,137.63,-22.9383
331,138.464,-23.0773
332,139.301,-23.2168
333,140.14,-23.3566
334,140.981,-23.4969
335,141.826,-23.6376
336,142.672,-23.7787
337,143.522,-23.9203
338,144.373,-24.0622
339,145.228,-24.2046
340,146.084,-24.3474
341,146.944,-24.4906
342,147.806,-24.6343
343,148.67,-24.7783
344,149.537,-24.9228
345,150.406,-25.0677
346,151.278,-25.213
347,152.153,-25.3588
348,153.03,-25.5049
349,153.909,-25.6515
350,154.791,-25.7985
351,155.676,-25.9459
352,156.563,-26.0938
353,157.452,-26.242
354,158.344,-26.3907
355,159.239,-26.5398
356,160.136,-26.6893
357,161.036,-26.8393
358,161.938,-26.9896
359,162.842,-27.1404
360,163.75,-27.2916
361,164.659,-27.4432
362,165.572,-27.5953
363,166.486,-27.7477
364,167.404,-27.9006
365,168.323,-28.0539
366,169.246,-28.2076
367,170.171,-28.3618
368,171.098,-28.5163
369,172.028,-28.6713
370,172.96,-28.8267
371,173.895,-28.9825
372,174.833,-29.1388
373,175.773,-29.2954
374,176.715,-29.4525
375,177.66,-29.61
376,178.608,-29.7679
377,179.558,-29.9263
378,180.51,-30.085
379,181.465,-30.2442
380,182.423,-30.4038
381,183.383,-30.5638
382,184.346,-30.7243
383,185.311,-30.8851
384,186.278,-31.0464
385,187.249,-31.2081
386,188.221,-31.3702
387,189.197,-31.5328
388,190.174,-31.6957
389,191.155,-31.8591
390,192.137,-32.0229
391,193.123,-32.1871
392,194.111,-32.3518
393,195.101,-32.5168
394,196.094,-32.6823
395,197.089,-32.8482
396,198.087,-33.0145
397,199.088,-33.1813
398,200.091,-33.3484
399,201.096,-33.516
400,202.104,-33.684
401,203.115,-33.8524
402,204.128,-34.0213
403,205.143,-34.1905
404,206.161,-34.3602
405,207.182,-34.5303
406,208.205,-34.7008
407,209.231,-34.8718
408,210.259,-35.0431
409,211.289,-35.2149
410,212.323,-35.3871
411,213.358,-35.5597
